Sample,Location,Reference
Large_Intestine-10X_P2_7,mouse/tabula_senis/30_month/Large_Intestine/Large_Intestine-10X_P2_7.h5/,GRCm38
Large_Intestine-10X_P1_8,mouse/tabula_senis/30_month/Large_Intestine/Large_Intestine-10X_P1_8.h5/,GRCm38
Large_Intestine-10X_P3_4,mouse/tabula_senis/30_month/Large_Intestine/Large_Intestine-10X_P3_4.h5/,GRCm38
