Sample,Location,Reference
Heart_and_Aorta-10X_P1_12,mouse/tabula_senis/30_month/Heart_and_Aorta/Heart_and_Aorta-10X_P1_12.h5/,GRCm38
Heart_and_Aorta-10X_P1_3,mouse/tabula_senis/30_month/Heart_and_Aorta/Heart_and_Aorta-10X_P1_3.h5/,GRCm38
Heart_and_Aorta-10X_P1_11,mouse/tabula_senis/30_month/Heart_and_Aorta/Heart_and_Aorta-10X_P1_11.h5/,GRCm38
Heart_and_Aorta-10X_P1_4,mouse/tabula_senis/30_month/Heart_and_Aorta/Heart_and_Aorta-10X_P1_4.h5/,GRCm38
