Sample,Location,Reference
Adult-Lung3-4,human/HTA/Lung/GSM4008633_Adult-Lung3-4_dge.txt,GRCh38
Adult-Lung3-3,human/HTA/Lung/GSM4008632_Adult-Lung3-3_dge.txt,GRCh38
Adult-Lung3-2,human/HTA/Lung/GSM4008631_Adult-Lung3-2_dge.txt,GRCh38
Adult-Lung1,human/HTA/Lung/GSM4008628_Adult-Lung1_dge.txt,GRCh38
Adult-Lung3-1,human/HTA/Lung/GSM4008630_Adult-Lung3-1_dge.txt,GRCh38
Adult-Lung2,human/HTA/Lung/GSM4008629_Adult-Lung2_dge.txt,GRCh38
