Sample,Location,Reference
Adult-Temporal-Lobe1-1,human/HTA/Temporal-Lobe/GSM4008656_Adult-Temporal-Lobe1-1_dge.txt,GRCh38
Adult-Temporal-Lobe1-3,human/HTA/Temporal-Lobe/GSM4008658_Adult-Temporal-Lobe1-3_dge.txt,GRCh38
Adult-Temporal-Lobe1-2,human/HTA/Temporal-Lobe/GSM4008657_Adult-Temporal-Lobe1-2_dge.txt,GRCh38
