project,tissue,is_human,annotations
ebi_sc_experiment,E-MTAB-7316-retina,True,Unknown
mouse_cell_atlas,Bladder,False,mouse/mca/Bladder/annotations_pg.csv
mouse_cell_atlas,BoneMarrow,False,mouse/mca/BoneMarrow/annotations_pg.csv
mouse_cell_atlas,Brain,False,mouse/mca/Brain/annotations_pg.csv
mouse_cell_atlas,Kidney,False,mouse/mca/Kidney/annotations_pg.csv
mouse_cell_atlas,Liver,False,mouse/mca/Liver/annotations_pg.csv
mouse_cell_atlas,Lung,False,mouse/mca/Lung/annotations_pg.csv
mouse_cell_atlas,MammaryGland.Involution,False,mouse/mca/MammaryGland.Involution/annotations_pg.csv
mouse_cell_atlas,MammaryGland.Lactation,False,mouse/mca/MammaryGland.Lactation/annotations_pg.csv
mouse_cell_atlas,MammaryGland.Pregnancy,False,mouse/mca/MammaryGland.Pregnancy/annotations_pg.csv
mouse_cell_atlas,MammaryGland.Virgin,False,mouse/mca/MammaryGland.Virgin/annotations_pg.csv
mouse_cell_atlas,MesenchymalStemCells,False,mouse/mca/MesenchymalStemCells/annotations_pg.csv
mouse_cell_atlas,Muscle,False,mouse/mca/Muscle/annotations_pg.csv
mouse_cell_atlas,Ovary,False,mouse/mca/Ovary/annotations_pg.csv
mouse_cell_atlas,Pancreas,False,mouse/mca/Pancreas/annotations_pg.csv
mouse_cell_atlas,PeripheralBlood,False,mouse/mca/PeripheralBlood/annotations_pg.csv
mouse_cell_atlas,Placenta,False,mouse/mca/Placenta/annotations_pg.csv
mouse_cell_atlas,Prostate,False,mouse/mca/Prostate/annotations_pg.csv
mouse_cell_atlas,SmallIntestine,False,mouse/mca/SmallIntestine/annotations_pg.csv
mouse_cell_atlas,Spleen,False,mouse/mca/Spleen/annotations_pg.csv
mouse_cell_atlas,Stomach,False,mouse/mca/Stomach/annotations_pg.csv
mouse_cell_atlas,Testis,False,mouse/mca/Testis/annotations_pg.csv
mouse_cell_atlas,Thymus,False,mouse/mca/Thymus/annotations_pg.csv
mouse_cell_atlas,TrophoblastStemCells,False,mouse/mca/TrophoblastStemCells/annotations_pg.csv
mouse_cell_atlas,Uterus,False,mouse/mca/Uterus/annotations_pg.csv
human_other,adipose,True,Unknown
human_other,ASD_snRNAseq,True,Unknown
human_other,liver,True,Unknown
human_other,kidney2,True,Unknown
human_other,skin,True,Unknown
human_tissue_atlas,Adipose,True,human/HTA/Adipose/annotations_pg.csv
human_tissue_atlas,Adrenal-Gland,True,human/HTA/Adrenal-Gland/annotations_pg.csv
human_tissue_atlas,Artery,True,human/HTA/Artery/annotations_pg.csv
human_tissue_atlas,Ascending-Colon,True,human/HTA/Ascending-Colon/annotations_pg.csv
human_tissue_atlas,Bladder,True,human/HTA/Bladder/annotations_pg.csv
human_tissue_atlas,Bone-Marrow,True,human/HTA/Bone-Marrow/annotations_pg.csv
human_tissue_atlas,Cerebellum,True,human/HTA/Cerebellum/annotations_pg.csv
human_tissue_atlas,Cervix,True,human/HTA/Cervix/annotations_pg.csv
human_tissue_atlas,Duodenum,True,human/HTA/Duodenum/annotations_pg.csv
human_tissue_atlas,Epityphlon,True,human/HTA/Epityphlon/annotations_pg.csv
human_tissue_atlas,Esophagus,True,human/HTA/Esophagus/annotations_pg.csv
human_tissue_atlas,Fallopian-Tube,True,human/HTA/Fallopian-Tube/annotations_pg.csv
human_tissue_atlas,Gall-Bladder,True,human/HTA/Gall-Bladder/annotations_pg.csv
human_tissue_atlas,Heart,True,human/HTA/Heart/annotations_pg.csv
human_tissue_atlas,Ileum,True,human/HTA/Ileum/annotations_pg.csv
human_tissue_atlas,Jejunum,True,human/HTA/Jejunum/annotations_pg.csv
human_tissue_atlas,Kidney,True,human/HTA/Kidney/annotations_pg.csv
human_tissue_atlas,Liver,True,human/HTA/Liver/annotations_pg.csv
human_tissue_atlas,Lung,True,human/HTA/Lung/annotations_pg.csv
human_tissue_atlas,Muscle,True,human/HTA/Muscle/annotations_pg.csv
human_tissue_atlas,Omentum,True,human/HTA/Omentum/annotations_pg.csv
human_tissue_atlas,Pancreas,True,human/HTA/Pancreas/annotations_pg.csv
