Sample,Location,Reference
MACA_24m_M_SPLEEN_58,mouse/tabula_senis/24_month/Spleen/MACA_24m_M_SPLEEN_58.h5/,GRCm38
MACA_24m_M_SPLEEN_60,mouse/tabula_senis/24_month/Spleen/MACA_24m_M_SPLEEN_60.h5/,GRCm38
MACA_24m_M_SPLEEN_61,mouse/tabula_senis/24_month/Spleen/MACA_24m_M_SPLEEN_61.h5/,GRCm38
MACA_24m_M_SPLEEN_59,mouse/tabula_senis/24_month/Spleen/MACA_24m_M_SPLEEN_59.h5/,GRCm38
