Sample,Location,Reference
MACA_24m_M_BM_60,mouse/tabula_senis/24_month/BM/MACA_24m_M_BM_60.h5/,GRCm38
MACA_24m_M_BM_58,mouse/tabula_senis/24_month/BM/MACA_24m_M_BM_58.h5/,GRCm38
MACA_24m_M_BM_61,mouse/tabula_senis/24_month/BM/MACA_24m_M_BM_61.h5/,GRCm38
MACA_24m_M_BM_59,mouse/tabula_senis/24_month/BM/MACA_24m_M_BM_59.h5/,GRCm38
