Sample,Location,Reference
MACA_24m_M_THYMUS_59,mouse/tabula_senis/24_month/Thymus/MACA_24m_M_THYMUS_59.h5/,GRCm38
MACA_24m_M_THYMUS_60,mouse/tabula_senis/24_month/Thymus/MACA_24m_M_THYMUS_60.h5/,GRCm38
MACA_24m_M_THYMUS_58,mouse/tabula_senis/24_month/Thymus/MACA_24m_M_THYMUS_58.h5/,GRCm38
